case_code,title,description,scenario_part,method_name,input_json,generated_output_json,expected_notes,tags,is_active
T01,T01. 1 раунд: заявки на ремонт компьютерной техники,Кейс согласования темы. Домен: technical_general. Ожидаемая группа: 1_round.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_general"", ""expected_round_group"": ""1_round"", ""student_topic"": ""Разработка веб-приложения для учета заявок на ремонт компьютерной техники в учебной организации"", ""teacher_topic"": ""Разработка информационной системы для регистрации, обработки и контроля заявок пользователей с использованием базы данных и веб-интерфейса"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 1, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Разработка веб-приложения для учета заявок на ремонт компьютерной техники в учебной организации"", ""teacher_topic"": ""Разработка информационной системы для регистрации, обработки и контроля заявок пользователей с использованием базы данных и веб-интерфейса"", ""generated_topic"": {""agreed_title"": ""Разработка веб-приложения для регистрации и контроля заявок на ремонт компьютерной техники в учебной организации"", ""agreed_description"": ""Работа направлена на создание информационной системы, в которой пользователь подает заявку, сотрудник службы поддержки меняет статус обработки, а история обращений хранится в базе данных.""}, ""generated_questions"": [""Какие роли пользователей должны быть предусмотрены в системе?"", ""Какие статусы заявки необходимо использовать?""]}]}",{},"Ожидается высокая оценка: темы близки, итоговая формулировка сохраняет предметную область, результат и технологическую основу.","seed, topic, 1_round, technical_general",true
T02,T02. 1 раунд: управление заказами интернет-магазина,Кейс согласования темы. Домен: technical_general. Ожидаемая группа: 1_round.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_general"", ""expected_round_group"": ""1_round"", ""student_topic"": ""Разработка модуля учета заказов для интернет-магазина"", ""teacher_topic"": ""Создание веб-системы для оформления, хранения и администрирования заказов покупателей"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 1, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Разработка модуля учета заказов для интернет-магазина"", ""teacher_topic"": ""Создание веб-системы для оформления, хранения и администрирования заказов покупателей"", ""generated_topic"": {""agreed_title"": ""Разработка веб-модуля управления заказами интернет-магазина"", ""agreed_description"": ""Система должна обеспечивать оформление заказа покупателем, хранение состава заказа в базе данных, изменение статуса заказа администратором и просмотр истории операций.""}, ""generated_questions"": [""Какие статусы заказа нужно поддержать?"", ""Какие данные о покупателе и товарах должны храниться?""]}]}",{},Ожидается высокий балл: предметная область и ожидаемый программный результат совпадают.,"seed, topic, 1_round, technical_general",true
T03,T03. 1 раунд: учет книг в библиотеке колледжа,Кейс согласования темы. Домен: technical_general. Ожидаемая группа: 1_round.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_general"", ""expected_round_group"": ""1_round"", ""student_topic"": ""Программа для учета книг и выдачи литературы в библиотеке колледжа"", ""teacher_topic"": ""Разработка информационной системы библиотечного учета с базой данных читателей, книг и операций выдачи"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 1, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Программа для учета книг и выдачи литературы в библиотеке колледжа"", ""teacher_topic"": ""Разработка информационной системы библиотечного учета с базой данных читателей, книг и операций выдачи"", ""generated_topic"": {""agreed_title"": ""Разработка информационной системы учета книг и операций выдачи в библиотеке колледжа"", ""agreed_description"": ""Результатом является приложение с базой данных книг, читателей и фактов выдачи, поддерживающее поиск литературы и контроль возврата.""}, ""generated_questions"": [""Какие роли пользователей будут работать с системой?"", ""Нужно ли учитывать просроченные возвраты?""]}]}",{},"Ожидается высокий балл: тема конкретна, есть база данных, роли и результат.","seed, topic, 1_round, technical_general",true
T04,T04. 1 раунд: диагностика компонентов компьютерной сети,Кейс согласования темы. Домен: technical_general. Ожидаемая группа: 1_round.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_general"", ""expected_round_group"": ""1_round"", ""student_topic"": ""Приложение для диагностики аппаратных компонентов компьютерной сети"", ""teacher_topic"": ""Разработка гибридного программного средства для сбора параметров сетевых устройств и отображения результатов диагностики"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 1, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Приложение для диагностики аппаратных компонентов компьютерной сети"", ""teacher_topic"": ""Разработка гибридного программного средства для сбора параметров сетевых устройств и отображения результатов диагностики"", ""generated_topic"": {""agreed_title"": ""Разработка гибридного приложения для диагностики аппаратных компонентов компьютерной сети"", ""agreed_description"": ""Приложение должно собирать сведения о сетевых устройствах, фиксировать диагностические параметры, сохранять результаты проверки и отображать их в десктопном и веб-интерфейсе.""}, ""generated_questions"": [""Какие параметры сетевых устройств должны фиксироваться?"", ""Нужен ли журнал результатов диагностики?""]}]}",{},"Ожидается высокий балл: финальная тема объединяет диагностическую задачу, гибридный формат и результат разработки.","seed, topic, 1_round, technical_general",true
T05,T05. 1 раунд: анализ таргетированной рекламы,Кейс согласования темы. Домен: humanitarian. Ожидаемая группа: 1_round.,topic_alignment_process,run_alignment_process,"{""domain"": ""humanitarian"", ""expected_round_group"": ""1_round"", ""student_topic"": ""Исследование применения искусственного интеллекта для таргетинга рекламы в социальных сетях"", ""teacher_topic"": ""Анализ влияния ИИ-инструментов на эффективность digital-рекламы и сегментацию аудитории"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 1, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Исследование применения искусственного интеллекта для таргетинга рекламы в социальных сетях"", ""teacher_topic"": ""Анализ влияния ИИ-инструментов на эффективность digital-рекламы и сегментацию аудитории"", ""generated_topic"": {""agreed_title"": ""Анализ применения искусственного интеллекта для повышения эффективности таргетированной рекламы в социальных сетях"", ""agreed_description"": ""Работа предполагает обзор ИИ-инструментов сегментации аудитории, описание показателей эффективности рекламных кампаний и анализ ограничений использования алгоритмов в digital-рекламе.""}, ""generated_questions"": [""Какие показатели эффективности рекламных кампаний будут рассматриваться?"", ""На каких примерах социальных сетей будет строиться анализ?""]}]}",{},"Ожидается высокий балл для гуманитарной темы: программный продукт не требуется, но сохранены объект, предмет и критерии анализа.","seed, topic, 1_round, humanitarian",true
T06,T06. 1 раунд: автоматическая проверка коротких ответов,Кейс согласования темы. Домен: technical_specific. Ожидаемая группа: 1_round.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_specific"", ""expected_round_group"": ""1_round"", ""student_topic"": ""Автоматическая оценка коротких ответов студентов методами обработки естественного языка"", ""teacher_topic"": ""Разработка модели NLP для классификации и оценивания кратких текстовых ответов в образовательной среде"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 1, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Автоматическая оценка коротких ответов студентов методами обработки естественного языка"", ""teacher_topic"": ""Разработка модели NLP для классификации и оценивания кратких текстовых ответов в образовательной среде"", ""generated_topic"": {""agreed_title"": ""Разработка NLP-модели для автоматической оценки коротких ответов студентов"", ""agreed_description"": ""В работе предусматривается подготовка набора коротких ответов, обучение и сравнение моделей классификации, расчет метрик качества и демонстрация прототипа проверки ответа.""}, ""generated_questions"": [""Какой набор данных будет использован для обучения?"", ""Какие метрики качества будут применяться?""]}]}",{},"Ожидается высокий балл: есть метод, данные, метрики и образовательный результат.","seed, topic, 1_round, technical_specific",true
T07,T07. 1 раунд: OCR-распознавание документов,Кейс согласования темы. Домен: technical_specific. Ожидаемая группа: 1_round.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_specific"", ""expected_round_group"": ""1_round"", ""student_topic"": ""Система распознавания текста в сканах учебных документов"", ""teacher_topic"": ""Разработка программного модуля OCR для извлечения текста из изображений документов с предварительной обработкой"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 1, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Система распознавания текста в сканах учебных документов"", ""teacher_topic"": ""Разработка программного модуля OCR для извлечения текста из изображений документов с предварительной обработкой"", ""generated_topic"": {""agreed_title"": ""Разработка OCR-модуля для распознавания текста в изображениях учебных документов"", ""agreed_description"": ""Система должна выполнять загрузку изображения документа, предварительную обработку, распознавание текста OCR-инструментом и сохранение результата для последующей проверки.""}, ""generated_questions"": [""Какие типы документов нужно поддержать?"", ""Какие искажения изображений должны учитываться при проверке?""]}]}",{},"Ожидается высокий балл: тема студента и тема преподавателя близки, уточнение технологии уместно.","seed, topic, 1_round, technical_specific",true
T08,T08. 2 раунда: сайт магазина превращается в модуль заказов,Кейс согласования темы. Домен: technical_general. Ожидаемая группа: 2_rounds.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_general"", ""expected_round_group"": ""2_rounds"", ""student_topic"": ""Сайт для небольшого магазина"", ""teacher_topic"": ""Разработка модуля управления заказами и складскими остатками для веб-приложения магазина"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 2, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Сайт для небольшого магазина"", ""teacher_topic"": ""Разработка модуля управления заказами и складскими остатками для веб-приложения магазина"", ""generated_topic"": {""agreed_title"": ""Разработка сайта небольшого магазина"", ""agreed_description"": ""Работа направлена на создание сайта магазина с каталогом и страницей заказов.""}, ""generated_questions"": [""Нужен ли учет заказов?"", ""Нужно ли хранить товары в базе данных?"", ""Какие роли пользователей нужны?""]}, {""round_no"": 2, ""student_topic"": ""Сайт для небольшого магазина с каталогом, заказами и администратором"", ""teacher_topic"": ""Разработка модуля управления заказами и складскими остатками для веб-приложения магазина"", ""generated_topic"": {""agreed_title"": ""Разработка веб-модуля управления заказами и складскими остатками для небольшого магазина"", ""agreed_description"": ""Система включает каталог товаров, оформление заказа, административное изменение статусов, учет остатков и хранение данных в базе.""}, ""generated_questions"": [""Какие статусы заказа и товара должны быть предусмотрены?"", ""Нужно ли формировать отчет по остаткам?""]}]}",{},"Ожидается хороший балл, но ниже идеального: первый раунд был слишком общим, второй раунд довел тему до требований преподавателя.","seed, topic, 2_rounds, technical_general",true
T09,T09. 2 раунда: запись в фотостудию,Кейс согласования темы. Домен: technical_general. Ожидаемая группа: 2_rounds.,topic_alignment_process,run_alignment_process,"{""domain"": ""technical_general"", ""expected_round_group"": ""2_rounds"", ""student_topic"": ""Онлайн-платформа для студии автопортрета"", ""teacher_topic"": ""Разработка веб-системы записи клиентов с календарем, личным кабинетом и административной панелью"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 2, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Онлайн-платформа для студии автопортрета"", ""teacher_topic"": ""Разработка веб-системы записи клиентов с календарем, личным кабинетом и административной панелью"", ""generated_topic"": {""agreed_title"": ""Разработка сайта студии автопортрета"", ""agreed_description"": ""Сайт должен содержать описание студии, раздел вопросов и форму записи.""}, ""generated_questions"": [""Какие роли пользователей нужны в системе?"", ""Как должен работать календарь записи?"", ""Нужна ли административная панель?""]}, {""round_no"": 2, ""student_topic"": ""Сайт студии автопортрета с записью, календарем и входом клиента"", ""teacher_topic"": ""Разработка веб-системы записи клиентов с календарем, личным кабинетом и административной панелью"", ""generated_topic"": {""agreed_title"": ""Разработка веб-системы записи клиентов в студию автопортрета"", ""agreed_description"": ""Приложение должно поддерживать регистрацию и вход клиента, выбор свободного времени в календаре, создание записи и управление заявками через административную панель.""}, ""generated_questions"": [""Какие временные интервалы доступны для бронирования?"", ""Какие действия должен выполнять администратор?""]}]}",{},"Ожидается хороший балл: второй раунд добавляет роли, календарь и административную часть.","seed, topic, 2_rounds, technical_general",true
T10,T10. 2 раунда: ИИ в рекламе и оценка эффективности,Кейс согласования темы. Домен: humanitarian. Ожидаемая группа: 2_rounds.,topic_alignment_process,run_alignment_process,"{""domain"": ""humanitarian"", ""expected_round_group"": ""2_rounds"", ""student_topic"": ""Искусственный интеллект в рекламе"", ""teacher_topic"": ""Исследование влияния ИИ-алгоритмов на эффективность таргетированной рекламы в социальных сетях"", ""max_rounds"": 3, ""finalized"": true, ""finalized_round"": 2, ""rounds"": [{""round_no"": 1, ""student_topic"": ""Искусственный интеллект в рекламе"", ""teacher_topic"": ""Исследование влияния ИИ-алгоритмов на эффективность таргетированной рекламы в социальных сетях"", ""generated_topic"": {""agreed_title"": ""Исследование искусственного интеллекта в рекламе"", ""agreed_description"": ""Работа посвящена возможностям применения искусственного интеллекта в рекламной деятельности.""}, ""generated_questions"": [""Какие виды рекламы будут изучаться?"", ""Какие показатели эффективности нужно сравнивать?"", ""Будут ли рассматриваться социальные сети?""]}, {""round_no"": 2, ""student_topic"": ""ИИ для таргетированной рекламы в социальных сетях и оценка эффективности кампаний"", ""teacher_topic"": ""Исследование влияния ИИ-алгоритмов на эффективность таргетированной рекламы в социальных сетях"", ""generated_topic"": {""agreed_title"": ""Оценка влияния ИИ-алгоритмов на эффективность таргетированной рекламы в социальных сетях"", ""agreed_description"": ""Исследование включает анализ инструментов сегментации аудитории, описание метрик эффективности рекламных кампаний и рассмотрение рисков автоматизированного таргетинга.""}, ""generated_questions"": [""Какие метрики эффективности будут использоваться?"", ""Какие источники или кейсы рекламных кампаний будут анализироваться?""]}]}",{},"Ожидается хороший балл: первый раунд слишком широкий, второй фиксирует социальные сети и эффективность.","seed, topic, 2_rounds, humanitarian",true
